gene_id	geneset
gene:YNR021W	Endoplasmic reticulum membrane
gene:YJL152W	Membrane
gene:YNR063W	Nucleus
gene:YGR045C	Membrane
gene:YGR038C-D/YGR038C-C	Cytoplasm
gene:YBL005W-A	Cytoplasm
gene:YBR255C-A	Membrane
gene:YNL146W	Endoplasmic reticulum membrane
gene:YPL085W	Endoplasmic reticulum membrane
gene:YOR295W	Nucleus
gene:YER019C-A	Endoplasmic reticulum membrane
gene:YFL068W	Membrane
gene:YMR209C	Membrane
gene:YOL166C	Membrane
gene:YBL054W	Cytoplasm
gene:YIL177W-A	Membrane
gene:YKL107W	Membrane
gene:YLR456W	Cytoplasm
gene:YJR067C	Cytoplasm
gene:YKR093W	Membrane
gene:YGR129W	Nucleus
gene:YDR181C	Nucleus
gene:YBR231C	Nucleus
gene:YJR101W	Mitochondrion
gene:YPL157W	Nucleus
gene:YLR055C	Nucleus
gene:YDR451C	Nucleus
gene:YNL212W	Cytoplasm
gene:YNL273W	Nucleus
gene:YHR130C	Membrane
gene:YBR137W	Cytoplasm
gene:YCL021W-A	Membrane
gene:YNL039W	Nucleus
gene:YLR237W	Membrane
gene:YIR014W	Membrane
gene:YIL102C-A	Membrane
gene:YPL185W	Membrane
gene:YPL182C	Membrane
gene:YJR126C	Membrane
gene:YML081W	Nucleus
gene:YGL184C	Cytoplasm
gene:YDR449C	Nucleus
gene:YDR398W	Nucleus
gene:YHR196W	Nucleus
gene:YNL138W-A	Nucleus
gene:YDL172C	Membrane
gene:YIL008W	Cytoplasm
gene:YFR006W	Membrane
gene:YNL218W	Nucleus
gene:YFR049W	Mitochondrion
gene:YJL109C	Nucleus
gene:YOR282W	Membrane
gene:YKR018C	Cytoplasm
gene:YJL193W	Membrane
gene:YLL053C	Membrane
gene:YBL070C	Membrane
gene:YCR059C	Cytoplasm
gene:YPR071W	Endoplasmic reticulum membrane
gene:YDR349C	Cytoplasm
gene:YNR025C	Membrane
gene:YJL195C	Membrane
gene:YGR021W	Mitochondrion
gene:YKL023C-A	Membrane
gene:YKL222C	Nucleus
gene:YOR150W	Mitochondrion
gene:YDR257C	Nucleus
gene:YPL011C	Nucleus
gene:YDL042C	Nucleus
gene:YDR494W	Mitochondrion
gene:YDR460W	Nucleus
gene:YLL020C	Membrane
gene:YGL249W	Nucleus
gene:YLR154C	Cytoplasm
gene:YDR188W	Cytoplasm
gene:YBR181C	Cytoplasm
gene:YLR287C-A	Cytoplasm
gene:YKL099C	Nucleus
gene:YOR004W	Mitochondrion
gene:YHR045W	Membrane
gene:YDR478W	Nucleus
gene:YMR093W	Nucleus
gene:YGR242W	Membrane
gene:YOR238W	Cytoplasm
gene:YPR150W	Membrane
gene:YOL087C	Cytoplasm
gene:YHL014C	Mitochondrion
gene:YML131W	Membrane
gene:YLR400W	Membrane
gene:YJR110W	Cytoplasm
gene:YJL163C	Membrane
gene:YJL175W	Membrane
gene:YBL071C	Membrane
gene:YGR038C-E	Cytoplasm
gene:YKL067W	Cytoplasm
gene:YOR157C	Cytoplasm
gene:YHR010W	Cytoplasm
gene:YIL092W	Membrane
gene:YOR344C	Nucleus
gene:YBR138C	Cytoplasm
gene:YGL258W	Cytoplasm
gene:YOL141W	Cytoplasm
gene:YDL068W	Membrane
gene:YOR230W	Cytoplasm
gene:YLL047W	Membrane
gene:YGL010W	Endoplasmic reticulum membrane
gene:YIL101C	Nucleus
gene:YMR310C	Nucleus
gene:YDR400W	Cytoplasm
gene:YGL164C	Cytoplasm
gene:YML009C-A	Membrane
gene:YBR196C-A	Membrane
gene:YML040W	Cytoplasm
gene:YOL035C	Membrane
gene:YER100W	Endoplasmic reticulum membrane
gene:YDL064W	Nucleus
gene:YBL010C	Nucleus
gene:YLR415C	Mitochondrion
gene:YOR028C	Cytoplasm
gene:YGR114C	Membrane
gene:YNL114C	Membrane
